floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
4,10,1,27.73,41490000,Якиманка,Ленинский проспект,2,Октябрьская,312871372
5,6,1,29.0,37000000,Хамовники,Зубовская ,7,Парк Культуры,315443321
5,10,1,40.4,28950000,Дорогомилово,Кутузовский проспект,30,Кутузовская,308837547
4,10,1,52.44,74990000,Якиманка,Ленинский проспект,2,Октябрьская,312871363
21,21,1,35.1,34900000,Басманный,площадь Курского Вокзала,1,Чкаловская,316201242
6,21,1,50.2,75000000,Пресненский,2-я Звенигородская ,14,Улица 1905 года,315131235
7,20,2,65.0,62000000,Пресненский,Мантулинская ,9к2,Москва-Сити,315200524
13,16,2,75.3,54000000,Беговой,Ленинградский проспект,вл8,Белорусская,296351713
31,36,2,72.0,55000000,Хорошево-Мневники,Шелепихинская набережная,34к3зд6,Шелепиха,317339732
4,8,2,77.0,79710800,Якиманка,Софийская набережная,34С5,Третьяковская,298881519
2,8,2,77.0,100000000,Якиманка,Софийская набережная,34,Третьяковская,298881521
9,37,2,45.0,24700000,Останкинский, Годовикова,11к2,Алексеевская,317138954
1,24,2,44.0,11900000,Чертаново Центральное,Кировоградская ,22к2,Пражская,316343295
6,12,2,46.0,14500000,Строгино,Неманский проезд,5К1,Мякинино,314153626
14,27,2,44.0,25300000,Алексеевский,Староалексеевская ,5А,Алексеевская,316873172
8,26,2,43.3,20500000,Головинский,Кронштадтский бульвар,6к2,Водный стадион,317063628
13,17,2,72.0,36990000,Богородское,1-я Мясниковская ,2,Белокаменная,316201070
6,8,2,61.1,25500000,Савеловский, Верхняя Масловка,20,Петровский Парк,309770871
5,13,2,62.4,34000000,Филевский парк, Василисы Кожиной,13,Парк Победы,315832202
19,20,2,41.0,29900000,Даниловский,Автозаводская ,26/1,Тульская,315039072
7,41,2,48.0,39500000,Раменки,1-й Сетуньский проезд,8,Кутузовская,316568101
20,25,2,61.3,24000000,Фили-Давыдково,Кастанаевская ,65,Кунцевская,315643090
3,5,2,44.3,49400000,Замоскворечье,Озерковская набережная,6,Новокузнецкая,307970936
4,12,2,38.4,9980000,Перово, Металлургов,38,Перово,315987738
7,9,2,60.0,19300000,Свиблово,проезд Серебрякова,3,Ботанический сад,316741191
5,5,2,43.7,12500000,Щукино,Живописная ,38К2,Щукинская,317518540
4,5,2,57.5,22000000,Хорошевский,Хорошевское шоссе,21А,Полежаевская,310065061
6,14,2,53.2,14490000,Митино,Митинская ,46К1,Митино,317461554
18,24,2,62.7,27000000,Филевский парк,Барклая ,6Ак1,Багратионовская,316361543
8,16,2,53.5,16590000,Хорошево-Мневники, Народного Ополчения,28К1,Народное Ополчение,314385616
11,21,2,53.0,22550000,Войковский,Выборгская ,9/1,Водный стадион,311961438
1,10,2,63.5,34000000,Хамовники,Оболенский переулок,7,Фрунзенская,312574499
4,13,2,95.0,161500000,Хамовники,Погодинская ,2,Киевская,316186342
6,12,2,41.7,11000000,Старое Крюково,Зеленоград,к832,Зеленоград — Крюково,316125699
9,19,2,57.0,31000000,Хорошево-Мневники,Карамышевская набережная,34,Народное Ополчение,315974003
18,79,2,71.8,49700000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,314417502
12,13,2,42.8,31490000,Беговой,Ленинградский проспект,29к4,Динамо,315039048
6,21,2,54.3,31900000,Беговой, 1-я Ямского Поля,28С3,Белорусская,313372838
5,14,2,43.1,27700000,Раменки,проспект Генерала Дорохова,39к1В,Поклонная,317501189
1,10,3,119.0,140000000,Дорогомилово, Братьев Фонченко,1к7,Парк Победы,316610259
8,14,3,68.9,53500000,Раменки,проспект Генерала Дорохова,39к2М,Минская,305280843
8,8,3,77.7,28300000,Останкинский,Звездный бульвар,2,ВДНХ,309071969
6,12,3,150.0,115000000,Замоскворечье,Климентовский переулок,2,Новокузнецкая,313016553
2,10,3,115.0,101000000,Тверской,Большая Грузинская ,69,Белорусская,306567075
22,32,3,84.0,70000000,Дорогомилово,Поклонная ,9,Поклонная,315645382
52,78,3,142.0,125000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,266958084
31,48,3,126.5,65490000,Щукино,Авиационная ,79К1,Щукинская,316346513
1,11,3,144.0,187000000,Дорогомилово, Братьев Фонченко,1к4,Парк Победы,316610258
6,12,3,146.0,115000000,Замоскворечье,Климентовский переулок,2,Новокузнецкая,307958924
1,5,3,55.6,12900000,Измайлово,Измайловский проезд,6К2,Измайловская,315139467
13,32,3,86.7,90000000,Дорогомилово,Поклонная ,9,Поклонная,310334461
5,10,3,131.0,131000000,Тверской,Большая Грузинская ,69,Белорусская,314928229
6,12,3,120.9,72200000,Мещанский,Протопоповский переулок,17С2,Проспект Мира,308136515
9,57,3,158.0,175363760,Хорошевский,Чапаевский переулок,3,Аэропорт,294650800
3,5,3,53.8,16000000,Останкинский,Звездный бульвар,20,ВДНХ,307816977
19,53,3,187.0,159421600,Раменки,Мосфильмовская ,8,Ломоносовский проспект,317505716
5,10,3,131.0,131000000,Тверской,Большая Грузинская ,69,Белорусская,315261338
1,9,3,57.5,18380000,Преображенское,Халтуринская ,13,Преображенская площадь,307964527
3,16,3,64.8,20200000,Отрадное,Северный бульвар,7,Отрадное,312089046
2,18,3,120.5,85000000,Тверской,Краснопролетарская ,7,Новослободская,304822277
